,Unnamed: 0,YEAR,WEEK,ILITOTAL_Region 1,u10_Region 1,v10_Region 1,t2m_Region 1,tp_Region 1,ILITOTAL_Region 2,u10_Region 2,v10_Region 2,t2m_Region 2,tp_Region 2,ILITOTAL_Region 3,u10_Region 3,v10_Region 3,t2m_Region 3,tp_Region 3,ILITOTAL_Region 4,u10_Region 4,v10_Region 4,t2m_Region 4,tp_Region 4,ILITOTAL_Region 5,u10_Region 5,v10_Region 5,t2m_Region 5,tp_Region 5,ILITOTAL_Region 6,u10_Region 6,v10_Region 6,t2m_Region 6,tp_Region 6,ILITOTAL_Region 7,u10_Region 7,v10_Region 7,t2m_Region 7,tp_Region 7,ILITOTAL_Region 8,u10_Region 8,v10_Region 8,t2m_Region 8,tp_Region 8,ILITOTAL_Region 9,u10_Region 9,v10_Region 9,t2m_Region 9,tp_Region 9,ILITOTAL_Region 10,u10_Region 10,v10_Region 10,t2m_Region 10,tp_Region 10,RESIDENT_POPULATION_Region 1,RESIDENT_POPULATION_DENSITY_Region 1,RESIDENT_POPULATION_Region 2,RESIDENT_POPULATION_DENSITY_Region 2,RESIDENT_POPULATION_Region 3,RESIDENT_POPULATION_DENSITY_Region 3,RESIDENT_POPULATION_Region 4,RESIDENT_POPULATION_DENSITY_Region 4,RESIDENT_POPULATION_Region 5,RESIDENT_POPULATION_DENSITY_Region 5,RESIDENT_POPULATION_Region 6,RESIDENT_POPULATION_DENSITY_Region 6,RESIDENT_POPULATION_Region 7,RESIDENT_POPULATION_DENSITY_Region 7,RESIDENT_POPULATION_Region 8,RESIDENT_POPULATION_DENSITY_Region 8,RESIDENT_POPULATION_Region 9,RESIDENT_POPULATION_DENSITY_Region 9,RESIDENT_POPULATION_Region 10,RESIDENT_POPULATION_DENSITY_Region 10
0,0,1997,40,44,0.9579367658095236,0.6257468714285714,284.36187404761904,0.0012063970040476,3,1.068942645714286,0.5924395978571428,286.5051328571429,0.0020110751428571,32,1.178496980595238,0.365695929142857,288.8460561904762,0.0012333171190476,46,0.5642728082653061,-0.1849667683265306,293.17545918367347,0.0004134263244897,89,2.2481482794761902,0.872098425,289.6799378571429,0.0006853542142857,5,-0.1189983901142857,0.8010434274285714,295.7796091428572,3.915817142857143e-05,27,1.684078507607143,1.2511931219642856,293.2875817857143,0.0001431702669264,5,1.829662656428572,0.9145017927857144,287.9037845238095,0.0001976589621666,243,-0.4842036393214285,-0.009067068392857,293.11996607142856,0.0006160985421428,76,0.7107968202857143,1.1030831795357143,282.22280785714287,0.0014185294896428,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
1,1,1997,41,57,1.069631661190476,-0.1695175735714285,287.87299499999995,0.0005330668130952,2,0.8575004085714286,0.1314436992857142,291.2261785714286,0.0004466391428571,42,0.5999438674761906,0.3910287179761905,293.70611952380955,7.585964050000001e-05,44,-0.8299290200816328,0.678453515755102,295.9716042857143,6.951543653061224e-05,104,0.5509216272619049,2.2172019148333333,291.7633283333334,0.0008705093542857,6,-1.2544475198857143,2.3645903028571427,295.14971314285714,0.0010001494857142,15,-0.0625326412857142,3.9639935710714287,293.52775785714283,0.0007439731785714,9,0.5480087280238095,1.827002210380953,284.4484102380952,0.0010067292619047,274,0.1947592696428571,0.6153426798571429,288.8557589285714,0.0012293394107142,62,0.75480576,0.4230180075714286,276.2072396428572,0.0015553905357142,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
2,2,1997,42,85,0.0331272486666666,-0.4812824933333333,283.672410952381,0.0003073325719047,1,-0.3670104925,-0.3736997257142857,285.23300642857146,0.0008277385714285,46,-0.5040813864285714,-0.60000569,286.96035,0.0014059745544285,54,-0.8656541875510202,-0.8211222737959183,290.1067846938776,0.0014044647142857,186,0.6658996322380952,1.3188336834523808,284.74501761904764,0.0015413209285714,6,-0.1022245854285714,-0.1860126800857142,288.405632,0.0015467149428571,13,0.8542898154642857,1.1845333092857142,285.6402678571429,0.00198608225,3,2.011676949047619,-0.1334006822619048,280.21414166666665,0.0010670938809523,241,-0.821376661607143,-0.8133286421428572,288.1728121428572,0.0006920842178571,46,0.2119846896428571,0.0605908155357142,276.0923167857143,0.00039081475,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
3,3,1997,43,125,1.107125478333333,-0.6309110678095239,278.72348166666666,0.0008679836190476,1,1.3359262207142857,-0.6971338871428572,280.3568,0.0012394805,32,1.0782058514285715,-0.7354803338095239,282.22285928571426,0.0015377446057142,17,0.1872643959591836,-0.203893881755102,287.0790440816326,0.0022286680114285,222,0.7730004488095238,-1.069627231190476,279.39038023809525,0.0006449511904761,7,0.0982989198285714,0.541354707142857,287.9536757142857,0.0018498178,16,-0.8767593423928572,-0.6814291073571428,281.9334296428572,0.0016337455357142,8,0.0501344299285714,-0.9194643529523808,276.62263380952385,0.0010402477619047,214,-0.3771767668928571,-0.5421871821428571,287.2776921428572,0.0005050815714285,11,0.2706345492142857,-0.4576731755,274.1520778571429,0.0004237631485714,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
4,4,1997,44,73,0.1789832104047619,0.1466514076190476,278.926239047619,0.001573101595238,14,0.4310929635714286,0.3462964021428572,280.9776864285714,0.0020502494285714,22,0.4379185071428571,0.2180745133809523,282.6283502380952,0.0019128871190476,43,0.3632275171428571,0.5211822136938776,286.4132106122449,0.0033038483469387,272,0.7611822679285715,0.9253487295238096,279.8234235714286,0.0014218741904761,11,1.0429194000857145,-0.0856432637999999,285.24472314285714,0.0007886177714285,12,1.835060305,-0.0747890034642857,278.60806035714285,0.001575469,8,2.283643581047619,0.3038276564761904,275.16682142857144,0.0003655464047619,224,-0.4890241810714285,-0.4713117947142857,286.4367103571429,0.0004278323892857,21,0.8222683258928571,0.8608974778571429,273.7675417857143,0.0025540876785714,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
5,5,1997,45,74,-0.6886060943809523,0.2959104101428571,281.2932526190477,0.0027962774523809,20,-0.4667072768571428,0.0836812288571428,281.1856907142857,0.0021139739285714,2,-0.0567844228571428,-0.2090942159047619,281.0333295238095,0.0036651228333333,45,0.9923597914285712,-0.3274706334081632,283.4959820408164,0.0016084808571428,282,0.7142322485714284,-0.4968379728571428,277.32940785714294,0.0010671915238095,11,0.8268612290285713,-0.3821077218285714,284.7532062857143,0.00049746132,9,1.2665713455714287,-1.3362166807142857,278.30330250000003,0.0004730182857142,7,0.8616068352619047,-0.3965799629761905,275.7451452380952,0.0002433013642857,173,-0.4856966388571428,-0.4002543450714286,287.92515535714284,0.0006617071324999,32,-0.4235561110357143,0.3297212970714285,275.3761975,0.00095128627775,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
6,6,1997,46,56,0.5226644915714286,-1.584114989642857,274.94299547619045,0.0023615322380952,16,0.6063663764285714,-1.4279718214285717,276.0663028571429,0.0024094762142857,51,1.0066628138809524,-1.1763770152857145,278.0476464285714,0.0020690804285714,62,0.5812391551020408,-0.8058893305306122,281.6091875510204,0.0024667365918367,300,0.6500983552380951,-1.2675490538095238,273.4274314285714,0.0010546518571428,14,-0.2156579037142856,-0.8243454977142857,279.90709457142856,0.0018790904285714,31,0.6489811867857143,-1.2967726071428571,273.0203964285714,0.0005002978214285,47,0.3369074742857142,-1.0301481789285714,268.2953442857143,0.0005534224761904,298,-0.6302103404285714,-0.0090423307142856,283.1191075,0.0011432272857142,57,-0.8809717312500001,-0.0397676384285714,271.8129796428572,0.0003474829928571,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
7,7,1997,47,66,1.2749887178095236,0.0476244430714285,272.39893523809525,0.0011247127055,24,1.4974107042857143,0.3016049697142857,274.26789357142854,0.0013889830714285,53,1.4733450304761906,0.3904091283571428,276.5306602380952,0.0010875179761904,65,0.4745230548979591,0.1407028618367347,280.2719348979592,0.001069107755102,396,1.7062590785714289,0.5188181864285714,272.1036590476191,0.0004685547619047,17,0.3811519486571428,0.1115955024285714,279.65798542857146,0.0004525817142857,29,1.4571086649999998,0.4646192124285713,274.1606178571428,6.940410714285714e-05,63,1.5770342825000003,0.3813787209285714,269.21883,0.0003540116369047,363,-0.0307626789285714,-0.1468105298214285,282.27749892857145,0.0008409998571428,24,0.1032881221428571,0.8658762039642857,270.3128857142857,0.0017419699999999,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
8,8,1997,48,80,1.632299419595238,-0.6147196280714287,272.0598359523809,0.0012860594523809,1,2.020009704285714,-0.1187814285714286,275.56928500000004,0.0006388882142857,43,1.7626724483333334,0.0453789742857142,278.63426309523805,0.0003040373571428,60,-0.0137820309795918,0.2877419152040816,283.56586714285714,0.0008233250816326,341,1.7680487351666665,1.079073552547619,275.99051833333334,0.0005658750238095,13,0.1464280531714285,1.0516844884285714,284.8165994285714,0.0012110305714285,13,0.6760339446428572,0.8905093596428572,279.2609392857143,0.0011772492142857,16,1.3157088997619046,0.8471741073333333,272.1470092857143,0.0004069353809523,302,-0.95503804225,-0.0919844636428571,282.9078782142857,0.0012756375,17,-0.0674423761785714,0.6476261078571428,269.0917042857143,0.00177136425,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
9,9,1997,49,120,1.943057815,-1.027248755357143,272.68650595238097,0.0018826496904761,7,2.00619995,-0.7499726685714285,274.8860542857143,0.0013244883571428,46,1.714218557952381,-0.6457575886190475,277.6063726190476,0.0012016965,76,1.0409856565510205,-0.392312887244898,282.1322561224489,0.0020794136081632,393,1.1608040081904762,-1.2156427806190475,273.8925304761905,0.0011348277619047,16,0.4214716495428571,-0.6402632713142856,279.5704225714286,0.0008090338060285,24,1.0247459135714283,-1.5024724703571426,273.4255367857143,0.0010390020714285,113,0.5013467665,-0.5181057793333333,268.0907647619048,0.0002529902619047,282,-1.5352098248214283,-0.707048037142857,280.18535535714284,0.0011076040357142,21,-0.6785679972142857,-0.0821473383928571,267.0366425,0.0004932086785714,15116205,495.8500000000001,29490243,845.85,31284526,2167.9833333333336,45671955,144.92857142857144,53075027,177.91666666666666,42891661,70.5,14244666,52.0,12372167,21.950000000000003,51249610,142.87499999999997,14515034,45.900000000000006
